ticker,ex_div_date,dividend_amount,entry_date,entry_type,entry_price,exit_date,exit_price,holding_days,entry_vix,exit_vix,entry_zscore,entry_premium_discount,gross_return_bps,bid_ask_cost_bps,borrow_fee_bps,net_return_bps,won,regime,regime_calm,regime_stressed
PDI,2023-08-10,0.221,2023-08-10,ex_div_close,19.2,2023-08-31,18.03,15,15.85,13.57,1.642603858507153,12.676054761498603,609.38,22.4,17.26,569.72,True,Normal (15-20),False,False
PDI,2023-08-10,0.221,2023-08-10,ex_div_close,19.2,2023-09-08,17.8,20,15.85,13.84,1.642603858507153,12.676054761498603,729.17,22.4,23.01,683.76,True,Normal (15-20),False,False
PDI,2023-09-08,0.221,2023-09-07,t_minus_1_close,17.98,2023-09-14,17.41,5,14.4,12.82,-0.35220168908515637,6.014153967127924,317.02,23.92,5.75,287.35,True,Calm (<15),True,False
PDI,2023-09-08,0.221,2023-09-07,t_minus_1_close,17.98,2023-09-21,17.56,10,14.4,17.54,-0.35220168908515637,6.014153967127924,233.59,23.92,11.51,198.17,True,Calm (<15),True,False
PDI,2023-09-08,0.221,2023-09-07,t_minus_1_close,17.98,2023-09-28,16.89,15,14.4,17.34,-0.35220168908515637,6.014153967127924,606.23,23.92,17.26,565.05,True,Calm (<15),True,False
PDI,2023-09-08,0.221,2023-09-07,t_minus_1_close,17.98,2023-10-05,16.9,20,14.4,18.49,-0.35220168908515637,6.014153967127924,600.67,23.92,23.01,553.74,True,Calm (<15),True,False
PDI,2023-09-08,0.221,2023-09-08,ex_div_open,17.76,2023-09-15,17.5,5,13.84,13.79,-0.25590557036192,6.332135486472466,146.4,24.21,5.75,116.43,True,Calm (<15),True,False
PDI,2023-09-08,0.221,2023-09-08,ex_div_open,17.76,2023-09-22,17.5,10,13.84,17.2,-0.25590557036192,6.332135486472466,146.4,24.21,11.51,110.68,True,Calm (<15),True,False
PDI,2023-09-08,0.221,2023-09-08,ex_div_open,17.76,2023-09-29,17.28,15,13.84,17.52,-0.25590557036192,6.332135486472466,270.27,24.21,17.26,228.8,True,Calm (<15),True,False
PDI,2023-09-08,0.221,2023-09-08,ex_div_open,17.76,2023-10-06,16.91,20,13.84,17.45,-0.25590557036192,6.332135486472466,478.6,24.21,23.01,431.38,True,Calm (<15),True,False
PDI,2023-09-08,0.221,2023-09-08,ex_div_close,17.8,2023-09-15,17.5,5,13.84,13.79,-0.25590557036192,6.332135486472466,168.54,24.16,5.75,138.63,True,Calm (<15),True,False
PDI,2023-09-08,0.221,2023-09-08,ex_div_close,17.8,2023-09-22,17.5,10,13.84,17.2,-0.25590557036192,6.332135486472466,168.54,24.16,11.51,132.87,True,Calm (<15),True,False
PDI,2023-09-08,0.221,2023-09-08,ex_div_close,17.8,2023-09-29,17.28,15,13.84,17.52,-0.25590557036192,6.332135486472466,292.13,24.16,17.26,250.72,True,Calm (<15),True,False
PDI,2023-09-08,0.221,2023-09-08,ex_div_close,17.8,2023-10-06,16.91,20,13.84,17.45,-0.25590557036192,6.332135486472466,500.0,24.16,23.01,452.83,True,Calm (<15),True,False
PDI,2023-10-11,0.221,2023-10-10,t_minus_1_close,17.15,2023-10-17,15.67,5,17.03,17.88,-1.0190641102768192,3.7507495833660744,862.97,25.07,5.75,832.15,True,Normal (15-20),False,False
PDI,2023-10-11,0.221,2023-10-10,t_minus_1_close,17.15,2023-10-24,15.74,10,17.03,18.97,-1.0190641102768192,3.7507495833660744,822.16,25.07,11.51,785.58,True,Normal (15-20),False,False
PDI,2023-10-11,0.221,2023-10-10,t_minus_1_close,17.15,2023-10-31,16.34,15,17.03,18.14,-1.0190641102768192,3.7507495833660744,472.3,25.07,17.26,429.97,True,Normal (15-20),False,False
PDI,2023-10-11,0.221,2023-10-10,t_minus_1_close,17.15,2023-11-07,17.83,20,17.03,14.81,-1.0190641102768192,3.7507495833660744,-396.5,25.07,23.01,-444.59,False,Normal (15-20),False,False
PDI,2023-10-11,0.221,2023-10-11,ex_div_open,16.99,2023-10-18,16.07,5,16.09,19.22,-1.020274129211686,3.742335207995793,541.5,25.31,5.75,510.43,True,Normal (15-20),False,False
PDI,2023-10-11,0.221,2023-10-11,ex_div_open,16.99,2023-10-25,15.53,10,16.09,20.19,-1.020274129211686,3.742335207995793,859.33,25.31,11.51,822.51,True,Normal (15-20),False,False
PDI,2023-10-11,0.221,2023-10-11,ex_div_open,16.99,2023-11-01,16.86,15,16.09,16.87,-1.020274129211686,3.742335207995793,76.52,25.31,17.26,33.95,True,Normal (15-20),False,False
PDI,2023-10-11,0.221,2023-10-11,ex_div_open,16.99,2023-11-08,17.86,20,16.09,14.45,-1.020274129211686,3.742335207995793,-512.07,25.31,23.01,-560.39,False,Normal (15-20),False,False
PDI,2023-10-11,0.221,2023-10-11,ex_div_close,16.91,2023-10-18,16.07,5,16.09,19.22,-1.020274129211686,3.742335207995793,496.75,25.43,5.75,465.57,True,Normal (15-20),False,False
PDI,2023-10-11,0.221,2023-10-11,ex_div_close,16.91,2023-10-25,15.53,10,16.09,20.19,-1.020274129211686,3.742335207995793,816.09,25.43,11.51,779.15,True,Normal (15-20),False,False
PDI,2023-10-11,0.221,2023-10-11,ex_div_close,16.91,2023-11-01,16.86,15,16.09,16.87,-1.020274129211686,3.742335207995793,29.57,25.43,17.26,-13.12,False,Normal (15-20),False,False
PDI,2023-10-11,0.221,2023-10-11,ex_div_close,16.91,2023-11-08,17.86,20,16.09,14.45,-1.020274129211686,3.742335207995793,-561.8,25.43,23.01,-610.24,False,Normal (15-20),False,False
PDI,2023-11-10,0.221,2023-11-09,t_minus_1_close,17.57,2023-11-16,17.49,5,15.29,14.32,-0.07873802824841813,6.420347978481964,45.53,24.47,5.75,15.31,True,Normal (15-20),False,False
PDI,2023-11-10,0.221,2023-11-09,t_minus_1_close,17.57,2023-11-24,17.6,10,15.29,12.46,-0.07873802824841813,6.420347978481964,-17.07,24.47,11.51,-53.06,False,Normal (15-20),False,False
PDI,2023-11-10,0.221,2023-11-09,t_minus_1_close,17.57,2023-12-01,17.96,15,15.29,12.63,-0.07873802824841813,6.420347978481964,-221.97,24.47,17.26,-263.7,False,Normal (15-20),False,False
PDI,2023-11-10,0.221,2023-11-09,t_minus_1_close,17.57,2023-12-08,17.77,20,15.29,12.35,-0.07873802824841813,6.420347978481964,-113.83,24.47,23.01,-161.32,False,Normal (15-20),False,False
PDI,2023-11-10,0.221,2023-11-10,ex_div_open,17.4,2023-11-17,17.56,5,14.17,13.8,-0.7686787888621758,3.7552932967267196,-91.95,24.71,5.75,-122.42,False,Calm (<15),True,False
PDI,2023-11-10,0.221,2023-11-10,ex_div_open,17.4,2023-11-27,17.62,10,14.17,12.69,-0.7686787888621758,3.7552932967267196,-126.44,24.71,11.51,-162.66,False,Calm (<15),True,False
PDI,2023-11-10,0.221,2023-11-10,ex_div_open,17.4,2023-12-04,18.11,15,14.17,13.08,-0.7686787888621758,3.7552932967267196,-408.05,24.71,17.26,-450.02,False,Calm (<15),True,False
PDI,2023-11-10,0.221,2023-11-10,ex_div_open,17.4,2023-12-11,17.59,20,14.17,12.63,-0.7686787888621758,3.7552932967267196,-109.2,24.71,23.01,-156.92,False,Calm (<15),True,False
PDI,2023-11-10,0.221,2023-11-10,ex_div_close,17.13,2023-11-17,17.56,5,14.17,13.8,-0.7686787888621758,3.7552932967267196,-251.02,25.1,5.75,-281.88,False,Calm (<15),True,False
PDI,2023-11-10,0.221,2023-11-10,ex_div_close,17.13,2023-11-27,17.62,10,14.17,12.69,-0.7686787888621758,3.7552932967267196,-286.05,25.1,11.51,-322.66,False,Calm (<15),True,False
